fecha,color_mesero,nombre_mesero,personas_asignadas,mesa_posicion
03/07/26,red,,20,"(2, 1)"
03/07/26,red,,20,"(2, 2)"
03/07/26,blue,,20,"(5, 1)"
03/07/26,blue,,20,"(5, 2)"
03/07/26,navy,,20,"(5, 3)"
03/07/26,navy,,20,"(4, 3)"
03/07/26,cyan,,40,"(5, 4)"
03/07/26,cyan,,40,"(4, 4)"
03/07/26,cyan,,40,"(3, 4)"
03/07/26,cyan,,40,"(3, 3)"
03/07/26,orange,,20,"(2, 3)"
03/07/26,orange,,20,"(2, 4)"
03/07/26,gold,,20,"(2, 5)"
03/07/26,gold,,20,"(3, 5)"
03/07/26,brown,,20,"(4, 5)"
03/07/26,brown,,20,"(5, 5)"
07/11/26,red,,20,"(2, 1)"
07/11/26,red,,20,"(2, 2)"
07/11/26,gray,,20,"(1, 1)"
07/11/26,gray,,20,"(2, 3)"
07/11/26,lime,,22,"(2, 4)"
07/11/26,lime,,22,"(3, 4)"
07/11/26,orange,,42,"(5, 4)"
07/11/26,orange,,42,"(4, 4)"
07/11/26,orange,,42,"(3, 3)"
07/11/26,orange,,42,"(4, 3)"
07/11/26,purple,,41,"(5, 3)"
07/11/26,purple,,41,"(5, 1)"
07/11/26,purple,,41,"(5, 2)"
07/11/26,purple,,41,"(6, 1)"
